model_name,config,fp16,compiled,batch_size,input_length,max_new_tokens,avg_latency_s,p50_latency_s,p95_latency_s,std_latency_s,ci95_half_ms,ms_per_token,throughput_tok_s,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,weight_bytes_mb,estimated_bandwidth_GBs,arithmetic_intensity
gpt2-large,baseline,False,False,2,512,50,1.5806,1.5749,1.5921,0.01509,7.061,31.611,63.27,64,4609,12288,2952.7,97.94,1.0
gpt2-large,baseline,False,False,4,32,50,1.316,1.324,1.3312,0.01685,7.884,26.32,151.97,49,4613,12288,2952.7,117.63,2.0
gpt2-large,baseline,False,False,4,128,50,1.3885,1.3883,1.401,0.00968,4.528,27.769,144.04,60,4613,12288,2952.7,111.49,2.0
gpt2-large,baseline,False,False,4,512,50,1.8566,1.8536,1.8781,0.01091,5.107,37.132,107.72,85,6047,12288,2952.7,83.38,2.0
gpt2-large,baseline,False,False,8,32,50,1.3811,1.3826,1.3871,0.00646,3.025,27.622,289.62,61,6047,12288,2952.7,112.09,4.0
gpt2-large,baseline,False,False,8,128,50,1.565,1.562,1.5761,0.00807,3.778,31.3,255.59,74,6047,12288,2952.7,98.92,4.0
gpt2-large,baseline,False,False,8,512,50,2.7725,2.7766,2.7923,0.01825,8.543,55.45,144.27,99,8433,12288,2952.7,55.84,4.0
gpt2-large,baseline,False,False,16,32,50,1.4382,1.4422,1.4498,0.01347,6.306,28.765,556.23,90,8433,12288,2952.7,107.64,8.0
gpt2-large,baseline,False,False,16,128,50,1.9467,1.9543,1.9597,0.01526,7.143,38.934,410.96,99,8433,12288,2952.7,79.52,8.0
gpt2-large,baseline,False,False,16,512,50,4.9467,4.9481,4.9743,0.0228,10.671,98.934,161.72,99,11549,12288,2952.7,31.29,8.0
gpt2-large,baseline,False,False,32,32,50,1.6406,1.6423,1.6458,0.00583,2.73,32.813,975.23,97,11551,12288,2952.7,94.36,16.0
gpt2-large,baseline,False,False,32,128,50,2.9876,2.9955,3.0007,0.01449,6.781,59.752,535.55,98,11551,12288,2952.7,51.82,16.0
gpt2-large,fp16,True,False,1,32,50,1.2599,1.2627,1.2846,0.01669,7.813,25.197,39.69,45,1983,12288,1476.3,61.44,1.0
gpt2-large,fp16,True,False,1,128,50,1.2479,1.2426,1.2715,0.01547,7.238,24.959,40.07,46,2039,12288,1476.3,62.02,1.0
gpt2-large,fp16,True,False,1,512,50,1.3384,1.3345,1.3645,0.01227,5.74,26.768,37.36,51,2269,12288,1476.3,57.83,1.0
